sid,year,first_epid,last_epid,n_episodes
1,1975,19751011,19760731,24
2,1976,19760918,19770521,22
3,1977,19770924,19780520,20
4,1978,19781007,19790526,20
5,1979,19791013,19800524,20
6,1980,19801115,19810411,13
7,1981,19811003,19820522,20
8,1982,19820925,19830514,20
9,1983,19831008,19840512,19
10,1984,19841006,19850413,17
11,1985,19851109,19860524,18
12,1986,19861011,19870523,20
13,1987,19871017,19880227,13
14,1988,19881008,19890520,20
15,1989,19890930,19900519,20
16,1990,19900929,19910518,20
17,1991,19910928,19920516,20
18,1992,19920926,19930515,20
19,1993,19930925,19940514,20
20,1994,19940924,19950513,20
21,1995,19950930,19960518,20
22,1996,19960928,19970517,20
23,1997,19970927,19980509,20
24,1998,19980926,19990515,19
25,1999,19991002,20000520,20
26,2000,20001007,20010519,20
27,2001,20010929,20020518,20
28,2002,20021005,20030517,20
29,2003,20031004,20040515,20
30,2004,20041002,20050521,20
31,2005,20051001,20060520,19
32,2006,20060930,20070519,20
33,2007,20070929,20080517,12
34,2008,20080913,20090516,22
35,2009,20090926,20100515,22
36,2010,20100925,20110521,22
37,2011,20110924,20120519,22
38,2012,20120915,20130518,21
39,2013,20130928,20140517,21
40,2014,20140927,20150516,21
41,2015,20151003,20160521,21
42,2016,20161001,20170520,21
43,2017,20170930,20180519,21
44,2018,20180929,20190518,21
45,2019,20190928,20200509,18
46,2020,20201003,20210410,17
